206239381,1,2,1,1,1
43092,3,205,133,72,30
555339,7,32,25,7,7
904781,3,85,19,66,9
194504297,1,65,30,35,31
264779653,1,29,3,26,2
356754713,2,11,9,2,1
1414107,2,80,42,38,19
66677082,41,17,7,10,115
281243183,1,124,77,47,2
326726135,1,168,1,167,7
207515996,14,21,4,17,2
1614685,11,29,20,9,20
253518905,2,36,5,31,3
302916,4,6,2,4,12
746239,2,111,90,21,3
24212065,2,429,9,420,29
648560,1,26,3,23,6
1387906,4,32,7,25,17
1654261,1,87,12,75,6
152400646,22,481,61,420,75
65245,1,231,14,217,1
2621569,11,217,106,111,65
42959005,4,197,11,186,7
334502052,6,88,13,75,81
263109349,1,180,55,125,2
963478,2,18,1,17,8
963478,2,18,1,17,8
81773580,1,51,44,7,2
76216834,1,2,1,1,4
912736,69,54,42,12,32
325148850,1,289,1,288,1
8781232,2,180,22,158,4
193249033,1,23,1,22,3
1503492,1,61,13,48,17
2260076,2,40,10,30,9
67951037,2,7,1,6,3
9889821,1,32,4,28,16
255067973,1,27,4,23,2
68383602,5,2,1,1,19
304115057,1,62,9,53,7
164888,1,534,130,404,9
21207387,2,11,3,8,2
245969551,4,25,3,22,3
25740703,3,17,6,11,6
36436074,45,58,11,47,15
64608355,3,14,11,3,38
190345440,1,29,4,25,35
33472138,3,66,56,10,8
58980749,1,44,42,2,10
265160564,9,20,4,16,47
1235032,3,53,2,51,2
27113284,38,86,44,42,25
264819715,2,39,1,38,3
5876,17,68,40,28,4
2332126,6,21,14,7,81
4369369,11,24,2,22,18
8055867,4,38,2,36,39
150866756,11,10,8,2,6
1256580,18,93,13,80,5
168166577,3,21,1,20,3
4409225,7,50,8,42,47
46815918,6,13,9,4,6
492761,8,57,7,50,4
79909745,4,87,32,55,62
79909745,4,87,32,55,62
394864153,2,13,8,5,3
29853373,1,92,14,78,1
113546190,1,304,9,295,14
3294257,8,17,5,12,2
231260873,15,127,109,18,1
216444106,1,93,4,89,3
216444106,1,93,4,89,3
216444106,1,93,4,89,3
268514384,2,99,11,88,3
139825320,4,91,5,86,3
157312961,5,35,7,28,104
5588199,4,192,14,178,2
100032969,10,5,3,2,41
470938,2,69,19,50,5
139883401,1,80,12,68,10
141973880,1,30,29,1,4
12311188,4,83,5,78,1
29194181,14,34,1,33,2
20703184,10,61,34,27,1
151410968,6,37,16,21,14
45007168,3,65,9,56,19
147509971,95,30,22,8,234
148901975,7,523,43,480,19
211911972,4,38,20,18,7
381655843,16,7,4,3,45
315195553,1,39,5,34,9
410794147,1,18,1,17,2
214858839,32,10,7,3,34
214858839,32,10,7,3,34
160156244,1,98,2,96,3
810800,1,2,1,1,7
69861590,3,67,5,62,13
108491464,8,7,6,1,21
344254678,3,13,1,12,2
824089,3,41,9,32,17
62162731,1,179,14,165,3
177659437,5,68,6,62,3
378149325,3,19,18,1,30
2657713,5,199,8,191,20
92388084,6,35,2,33,1
211468953,1,87,14,73,1
57437721,32,67,40,27,50
57437721,32,67,40,27,50
126759222,3,9,7,2,9
154794978,1,325,4,321,6
154794978,1,325,4,321,6
237323783,2,37,16,21,5
1127978,1,32,26,6,4
